Orthogroup	Mcap.protein	Pocillopora_acuta_protein	Total
OG0003210	2	1	3
OG0003211	1	2	3
OG0003212	1	2	3
OG0003213	2	1	3
OG0003214	2	1	3
OG0003215	2	1	3
OG0003216	2	1	3
OG0003217	1	2	3
OG0003218	2	1	3
OG0003219	2	1	3
OG0003220	2	1	3
OG0003221	1	2	3
OG0003222	2	1	3
OG0003223	1	2	3
OG0003224	1	2	3
OG0003225	1	2	3
OG0003226	1	2	3
OG0003227	2	1	3
OG0003228	2	1	3
OG0003229	2	1	3
OG0003230	1	2	3
OG0003231	2	1	3
OG0003232	2	1	3
OG0003233	2	1	3
OG0003234	2	1	3
OG0003235	2	1	3
OG0003236	1	2	3
OG0003237	2	1	3
OG0003238	2	1	3
OG0003239	2	1	3
OG0003240	1	2	3
OG0003241	1	2	3
OG0003242	2	1	3
OG0003243	1	2	3
OG0003244	2	1	3
OG0003245	2	1	3
OG0003246	2	1	3
OG0003247	2	1	3
OG0003248	2	1	3
OG0003249	2	1	3
OG0003250	2	1	3
OG0003251	2	1	3
OG0003252	2	1	3
OG0003253	2	1	3
OG0003254	2	1	3
OG0003255	2	1	3
OG0003256	2	1	3
OG0003257	2	1	3
OG0003258	2	1	3
OG0003259	1	2	3
OG0003260	1	2	3
OG0003261	1	2	3
OG0003262	1	2	3
OG0003263	2	1	3
OG0003264	2	1	3
OG0003265	1	2	3
OG0003266	2	1	3
OG0003267	1	2	3
OG0003268	2	1	3
OG0003269	2	1	3
OG0003270	3	0	3
OG0003271	1	2	3
OG0003272	2	1	3
OG0003273	2	1	3
OG0003274	2	1	3
OG0003275	2	1	3
OG0003276	1	2	3
OG0003277	1	2	3
OG0003278	1	2	3
OG0003279	2	1	3
OG0003280	1	2	3
OG0003281	2	1	3
OG0003282	1	2	3
OG0003283	2	1	3
OG0003284	2	1	3
OG0003285	1	2	3
OG0003286	2	1	3
OG0003287	2	1	3
OG0003288	2	1	3
OG0003289	2	1	3
OG0003290	2	1	3
OG0003291	2	1	3
OG0003292	2	1	3
OG0003293	2	1	3
OG0003294	2	1	3
OG0003295	2	1	3
OG0003296	2	1	3
OG0003297	2	1	3
OG0003298	2	1	3
OG0003299	2	1	3
OG0003300	2	1	3
OG0003301	2	1	3
OG0003302	2	1	3
OG0003303	2	1	3
OG0003304	2	1	3
OG0003305	2	1	3
OG0003306	1	2	3
OG0003307	1	2	3
OG0003308	2	1	3
OG0003309	2	1	3
OG0003310	2	1	3
OG0003311	2	1	3
OG0003312	1	2	3
OG0003313	2	1	3
OG0003314	1	2	3
OG0003315	1	2	3
OG0003316	1	2	3
OG0003317	1	2	3
OG0003318	2	1	3
OG0003319	1	2	3
OG0003320	2	1	3
OG0003321	2	1	3
OG0003322	2	1	3
OG0003323	1	2	3
OG0003324	1	2	3
OG0003325	2	1	3
OG0003326	1	2	3
OG0003327	2	1	3
OG0003328	1	2	3
OG0003329	2	1	3
OG0003330	2	1	3
OG0003331	2	1	3
OG0003332	2	1	3
OG0003333	2	1	3
OG0003334	2	1	3
OG0003335	2	1	3
OG0003336	2	1	3
OG0003337	2	1	3
OG0003338	2	1	3
OG0003339	2	1	3
OG0003340	2	1	3
OG0003341	2	1	3
OG0003342	2	1	3
OG0003343	2	1	3
OG0003344	2	1	3
OG0003345	2	1	3
OG0003346	2	1	3
OG0003347	2	1	3
OG0003348	2	1	3
OG0003349	2	1	3
OG0003350	2	1	3
OG0003351	1	2	3
OG0003352	2	1	3
OG0003353	2	1	3
OG0003354	2	1	3
OG0003355	2	1	3
OG0003356	2	1	3
OG0003357	2	1	3
OG0003358	2	1	3
OG0003359	2	1	3
OG0003360	2	1	3
OG0003361	2	1	3
OG0003362	2	1	3
OG0003363	2	1	3
OG0003364	2	1	3
OG0003365	1	2	3
OG0003366	2	1	3
OG0003367	2	1	3
OG0003368	2	1	3
OG0003369	2	1	3
OG0003370	2	1	3
OG0003371	2	1	3
OG0003372	2	1	3
OG0003373	2	1	3
OG0003374	2	1	3
OG0003375	1	2	3
OG0003376	2	1	3
OG0003377	2	1	3
OG0003378	1	2	3
OG0003379	2	1	3
OG0003380	2	1	3
OG0003381	2	1	3
OG0003382	2	1	3
OG0003383	2	1	3
OG0003384	2	1	3
OG0003385	2	1	3
OG0003386	2	1	3
OG0003387	1	2	3
OG0003388	2	1	3
OG0003389	2	1	3
OG0003390	2	1	3
OG0003391	2	1	3
OG0003392	2	1	3
OG0003393	1	2	3
OG0003394	2	1	3
OG0003395	2	1	3
OG0003396	2	1	3
OG0003397	1	2	3
OG0003398	2	1	3
OG0003399	2	1	3
OG0003400	2	1	3
OG0003401	1	2	3
OG0003402	1	2	3
OG0003403	2	1	3
OG0003404	2	1	3
OG0003405	2	1	3
OG0003406	2	1	3
OG0003407	2	1	3
OG0003408	2	1	3
OG0003409	2	1	3
OG0003410	2	1	3
OG0003411	1	2	3
OG0003412	1	2	3
OG0003413	2	1	3
OG0003414	2	1	3
OG0003415	2	1	3
OG0003416	2	1	3
OG0003417	2	1	3
OG0003418	2	1	3
OG0003419	2	1	3
OG0003420	2	1	3
OG0003421	2	1	3
OG0003422	1	2	3
OG0003423	2	1	3
OG0003424	1	2	3
OG0003425	2	1	3
OG0003426	1	2	3
OG0003427	1	2	3
OG0003428	3	0	3
OG0003429	2	1	3
OG0003430	1	2	3
OG0003431	1	2	3
OG0003432	1	2	3
OG0003433	1	2	3
OG0003434	1	2	3
OG0003435	1	2	3
OG0003436	2	1	3
OG0003437	1	2	3
OG0003438	1	2	3
OG0003439	1	2	3
OG0003440	2	1	3
OG0003441	2	1	3
OG0003442	2	1	3
OG0003443	2	1	3
OG0003444	1	2	3
OG0003445	1	2	3
OG0003446	1	2	3
OG0003447	2	1	3
OG0003448	2	1	3
OG0003449	1	2	3
OG0003450	2	1	3
OG0003451	1	2	3
OG0003452	2	1	3
OG0003453	2	1	3
OG0003454	2	1	3
OG0003455	2	1	3
OG0003456	2	1	3
OG0003457	2	1	3
OG0003458	2	1	3
OG0003459	1	2	3
OG0003460	2	1	3
OG0003461	2	1	3
OG0003462	2	1	3
OG0003463	2	1	3
OG0003464	2	1	3
OG0003465	2	1	3
OG0003466	2	1	3
OG0003467	1	2	3
OG0003468	2	1	3
OG0003469	2	1	3
OG0003470	2	1	3
OG0003471	2	1	3
OG0003472	2	1	3
OG0003473	2	1	3
OG0003474	2	1	3
OG0003475	2	1	3
OG0003476	2	1	3
OG0003477	2	1	3
OG0003478	2	1	3
OG0003479	2	1	3
OG0003480	2	1	3
OG0003481	1	2	3
OG0003482	2	1	3
OG0003483	2	1	3
OG0003484	2	1	3
OG0003485	2	1	3
OG0003486	2	1	3
OG0003487	1	2	3
OG0003488	2	1	3
OG0003489	1	2	3
OG0003490	2	1	3
OG0003491	1	2	3
OG0003492	2	1	3
OG0003493	2	1	3
OG0003494	1	2	3
OG0003495	1	2	3
OG0003496	2	1	3
OG0003497	2	1	3
OG0003498	1	2	3
OG0003499	2	1	3
OG0003500	1	2	3
OG0003501	2	1	3
OG0003502	1	2	3
OG0003503	2	1	3
OG0003504	2	1	3
OG0003505	2	1	3
OG0003506	2	1	3
OG0003507	2	1	3
OG0003508	1	2	3
OG0003509	1	2	3
OG0003510	2	1	3
OG0003511	2	1	3
OG0003512	2	1	3
OG0003513	2	1	3
OG0003514	2	1	3
OG0003515	1	2	3
OG0003516	1	2	3
OG0003517	2	1	3
OG0003518	2	1	3
OG0003519	2	1	3
OG0003520	2	1	3
OG0003521	2	1	3
OG0003522	2	1	3
OG0003523	2	1	3
OG0003524	1	2	3
OG0003525	2	1	3
OG0003526	1	2	3
OG0003527	2	1	3
OG0003528	1	2	3
OG0003529	1	2	3
OG0003530	1	2	3
OG0003531	1	2	3
OG0003532	1	2	3
OG0003533	2	1	3
OG0003534	2	1	3
OG0003535	2	1	3
OG0003536	2	1	3
OG0003537	1	2	3
OG0003538	2	1	3
OG0003539	2	1	3
OG0003540	2	1	3
OG0003541	2	1	3
OG0003542	2	1	3
OG0003543	2	1	3
OG0003544	2	1	3
OG0003545	2	1	3
OG0003546	2	1	3
OG0003547	2	1	3
OG0003548	2	1	3
OG0003549	1	2	3
OG0003550	1	2	3
OG0003551	2	1	3
OG0003552	2	1	3
OG0003553	2	1	3
OG0003554	2	1	3
OG0003555	2	1	3
OG0003556	2	1	3
OG0003557	2	1	3
OG0003558	2	1	3
OG0003559	2	1	3
OG0003560	2	1	3
OG0003561	2	1	3
OG0003562	2	1	3
OG0003563	2	1	3
OG0003564	2	1	3
OG0003565	1	2	3
OG0003566	2	1	3
OG0003567	2	1	3
OG0003568	1	2	3
OG0003569	1	2	3
OG0003570	2	1	3
OG0003571	1	2	3
OG0003572	2	1	3
OG0003573	1	2	3
OG0003574	1	2	3
OG0003575	2	1	3
OG0003576	2	1	3
OG0003577	1	2	3
OG0003578	2	1	3
OG0003579	2	1	3
OG0003580	2	1	3
OG0003581	1	2	3
OG0003582	1	2	3
OG0003583	2	1	3
OG0003584	2	1	3
OG0003585	1	2	3
OG0003586	2	1	3
OG0003587	2	1	3
OG0003588	2	1	3
OG0003589	2	1	3
OG0003590	2	1	3
OG0003591	2	1	3
OG0003592	2	1	3
OG0003593	2	1	3
OG0003594	2	1	3
OG0003595	2	1	3
OG0003596	2	1	3
OG0003597	1	2	3
OG0003598	1	2	3
OG0003599	2	1	3
OG0003600	1	2	3
OG0003601	2	1	3
OG0003602	2	1	3
OG0003603	2	1	3
OG0003604	2	1	3
OG0003605	2	1	3
OG0003606	2	1	3
OG0003607	2	1	3
OG0003608	2	1	3
OG0003609	2	1	3
OG0003610	2	1	3
OG0003611	2	1	3
OG0003612	2	1	3
OG0003613	2	1	3
OG0003614	2	1	3
OG0003615	2	1	3
OG0003616	2	1	3
OG0003617	2	1	3
OG0003618	2	1	3
OG0003619	2	1	3
OG0003620	2	1	3
OG0003621	2	1	3
OG0003622	2	1	3
OG0003623	2	1	3
OG0003624	1	2	3
OG0003625	1	2	3
OG0003626	1	2	3
OG0003627	2	1	3
OG0003628	2	1	3
OG0003629	2	1	3
OG0003630	2	1	3
OG0003631	1	2	3
OG0003632	2	1	3
OG0003633	2	1	3
OG0003634	2	1	3
OG0003635	2	1	3
OG0003636	2	1	3
OG0003637	1	2	3
OG0003638	2	1	3
OG0003639	2	1	3
OG0003640	2	1	3
OG0003641	2	1	3
OG0003642	1	2	3
OG0003643	2	1	3
OG0003644	1	2	3
OG0003645	2	1	3
OG0003646	1	2	3
OG0003647	1	2	3
OG0003648	1	2	3
OG0003649	1	2	3
OG0003650	2	1	3
OG0003651	1	2	3
OG0003652	1	2	3
OG0003653	1	2	3
OG0003654	2	1	3
OG0003655	2	1	3
OG0003656	2	1	3
OG0003657	2	1	3
OG0003658	2	1	3
OG0003659	2	1	3
OG0003660	1	2	3
OG0003661	2	1	3
OG0003662	2	1	3
OG0003663	2	1	3
OG0003664	2	1	3
OG0003665	2	1	3
OG0003666	2	1	3
OG0003667	2	1	3
OG0003668	1	2	3
OG0003669	1	2	3
OG0003670	3	0	3
OG0003671	1	2	3
OG0003672	2	1	3
OG0003673	2	1	3
OG0003674	2	1	3
OG0003675	1	2	3
OG0003676	2	1	3
OG0003677	2	1	3
OG0003678	2	1	3
OG0003679	2	1	3
OG0003680	1	2	3
OG0003681	1	2	3
OG0003682	1	2	3
OG0003683	1	2	3
OG0003684	2	1	3
OG0003685	2	1	3
OG0003686	2	1	3
OG0003687	2	1	3
OG0003688	2	1	3
OG0003689	1	2	3
OG0003690	1	2	3
OG0003691	1	2	3
OG0003692	2	1	3
OG0003693	2	1	3
OG0003694	2	1	3
OG0003695	2	1	3
OG0003696	2	1	3
OG0003697	1	2	3
OG0003698	1	2	3
OG0003699	2	1	3
OG0003700	3	0	3
OG0003701	2	1	3
OG0003702	2	1	3
OG0003703	2	1	3
OG0003704	1	2	3
OG0003705	2	1	3
OG0003706	2	1	3
OG0003707	2	1	3
OG0003708	2	1	3
OG0003709	2	1	3
OG0003710	1	2	3
OG0003711	2	1	3
OG0003712	1	2	3
OG0003713	2	1	3
OG0003714	2	1	3
OG0003715	2	1	3
OG0003716	1	2	3
OG0003717	1	2	3
OG0003718	2	1	3
OG0003719	2	1	3
OG0003720	2	1	3
OG0003721	1	2	3
OG0003722	2	1	3
OG0003723	2	1	3
OG0003724	2	1	3
OG0003725	2	1	3
OG0003726	1	2	3
OG0003727	1	2	3
OG0003728	1	2	3
OG0003729	1	2	3
OG0003730	2	1	3
OG0003731	1	2	3
OG0003732	2	1	3
OG0003733	1	2	3
OG0003734	1	2	3
OG0003735	1	2	3
OG0003736	2	1	3
OG0003737	2	1	3
OG0003738	2	1	3
OG0003739	1	2	3
OG0003740	1	2	3
OG0003741	1	2	3
OG0003742	1	2	3
OG0003743	1	2	3
OG0003744	1	2	3
OG0003745	2	1	3
OG0003746	2	1	3
OG0003747	1	2	3
OG0003748	1	2	3
OG0003749	2	1	3
OG0003750	2	1	3
OG0003751	2	1	3
OG0003752	2	1	3
OG0003753	2	1	3
OG0003754	2	1	3
OG0003755	2	1	3
OG0003756	2	1	3
OG0003757	1	2	3
OG0003758	2	1	3
OG0003759	2	1	3
OG0003760	1	2	3
OG0003761	2	1	3
OG0003762	2	1	3
OG0003763	2	1	3
OG0003764	2	1	3
OG0003765	2	1	3
OG0003766	1	2	3
OG0003767	2	1	3
OG0003768	2	1	3
OG0003769	1	2	3
OG0003770	1	2	3
OG0003771	2	1	3
OG0003772	1	2	3
OG0003773	2	1	3
OG0003774	1	2	3
OG0003775	2	1	3
OG0003776	2	1	3
OG0003777	2	1	3
OG0003778	2	1	3
OG0003779	1	2	3
OG0003780	2	1	3
OG0003781	1	2	3
OG0003782	1	2	3
OG0003783	1	2	3
OG0003784	1	2	3
OG0003785	2	1	3
OG0003786	2	1	3
OG0003787	1	2	3
OG0003788	2	1	3
OG0003789	2	1	3
OG0003790	2	1	3
OG0003791	2	1	3
OG0003792	1	2	3
OG0003793	1	2	3
OG0003794	2	1	3
OG0003795	2	1	3
OG0003796	1	2	3
OG0003797	2	1	3
OG0003798	2	1	3
OG0003799	2	1	3
OG0003800	2	1	3
OG0003801	1	2	3
OG0003802	2	1	3
OG0003803	1	2	3
OG0003804	2	1	3
OG0003805	2	1	3
OG0003806	2	1	3
OG0003807	1	2	3
OG0003808	1	2	3
OG0003809	2	1	3
OG0003810	2	1	3
OG0003811	2	1	3
OG0003812	2	1	3
OG0003813	2	1	3
OG0003814	1	2	3
OG0003815	2	1	3
OG0003816	1	2	3
OG0003817	2	1	3
OG0003818	2	1	3
OG0003819	2	1	3
OG0003820	1	2	3
OG0003821	1	2	3
OG0003822	1	2	3
OG0003823	1	2	3
OG0003824	2	1	3
OG0003825	2	1	3
OG0003826	2	1	3
OG0003827	2	1	3
OG0003828	2	1	3
OG0003829	1	2	3
OG0003830	2	1	3
OG0003831	2	1	3
OG0003832	2	1	3
OG0003833	2	1	3
OG0003834	2	1	3
OG0003835	1	2	3
OG0003836	1	2	3
OG0003837	2	1	3
OG0003838	2	1	3
OG0003839	1	2	3
OG0003840	2	1	3
OG0003841	2	1	3
OG0003842	2	1	3
OG0003843	2	1	3
OG0003844	2	1	3
OG0003845	2	1	3
OG0003846	2	1	3
OG0003847	2	1	3
OG0003848	2	1	3
OG0003849	2	1	3
OG0003850	1	2	3
OG0003851	1	2	3
OG0003852	1	2	3
OG0003853	2	1	3
OG0003854	2	1	3
OG0003855	1	2	3
OG0003856	1	2	3
OG0003857	2	1	3
OG0003858	2	1	3
OG0003859	1	2	3
OG0003860	2	1	3
OG0003861	1	2	3
OG0003862	2	1	3
OG0003863	2	1	3
OG0003864	2	1	3
OG0003865	2	1	3
OG0003866	2	1	3
OG0003867	2	1	3
OG0003868	2	1	3
OG0003869	2	1	3
OG0003870	2	1	3
OG0003871	1	2	3
OG0003872	1	2	3
OG0003873	2	1	3
OG0003874	2	1	3
OG0003875	2	1	3
OG0003876	2	1	3
OG0003877	2	1	3
OG0003878	1	2	3
OG0003879	1	2	3
OG0003880	1	2	3
OG0003881	1	2	3
OG0003882	2	1	3
OG0003883	2	1	3
OG0003884	2	1	3
OG0003885	1	2	3
OG0003886	2	1	3
OG0003887	2	1	3
OG0003888	2	1	3
OG0003889	2	1	3
OG0003890	2	1	3
OG0003891	2	1	3
OG0003892	2	1	3
OG0003893	2	1	3
OG0003894	2	1	3
OG0003895	2	1	3
OG0003896	2	1	3
OG0003897	1	2	3
OG0003898	1	2	3
OG0003899	1	2	3
OG0003900	1	2	3
OG0003901	2	1	3
OG0003902	1	2	3
OG0003903	2	1	3
OG0003904	1	2	3
OG0003905	1	2	3
OG0003906	1	2	3
OG0003907	1	2	3
OG0003908	2	1	3
OG0003909	2	1	3
OG0003910	2	1	3
OG0003911	2	1	3
OG0003912	1	2	3
OG0003913	1	2	3
OG0003914	1	2	3
OG0003915	1	2	3
OG0003916	2	1	3
OG0003917	1	2	3
OG0003918	2	1	3
OG0003919	2	1	3
OG0003920	2	1	3
OG0003921	2	1	3
OG0003922	2	1	3
OG0003923	2	1	3
OG0003924	2	1	3
OG0003925	1	2	3
OG0003926	2	1	3
OG0003927	2	1	3
OG0003928	2	1	3
OG0003929	2	1	3
OG0003930	2	1	3
OG0003931	2	1	3
OG0003932	2	1	3
OG0003933	1	2	3
OG0003934	2	1	3
OG0003935	2	1	3
OG0003936	1	2	3
OG0003937	1	2	3
OG0003938	2	1	3
OG0003939	2	1	3
OG0003940	1	2	3
OG0003941	1	2	3
OG0003942	2	1	3
OG0003943	2	1	3
OG0003944	2	1	3
OG0003945	1	2	3
OG0003946	1	2	3
OG0003947	2	1	3
OG0003948	1	2	3
OG0003949	2	1	3
OG0003950	2	1	3
OG0003951	2	1	3
OG0003952	2	1	3
OG0003953	2	1	3
OG0003954	2	1	3
OG0003955	1	2	3
OG0003956	2	1	3
OG0003957	2	1	3
OG0003958	2	1	3
OG0003959	2	1	3
OG0003960	2	1	3
OG0003961	2	1	3
OG0003962	1	2	3
OG0003963	1	2	3
OG0003964	1	2	3
OG0003965	2	1	3
OG0003966	2	1	3
OG0003967	2	1	3
OG0003968	2	1	3
OG0003969	2	1	3
OG0003970	1	2	3
OG0003971	1	2	3
OG0003972	2	1	3
OG0003973	1	2	3
OG0003974	2	1	3
OG0003975	1	2	3
OG0003976	2	1	3
OG0003977	2	1	3
OG0003978	2	1	3
OG0003979	2	1	3
OG0003980	2	1	3
OG0003981	2	1	3
OG0003982	2	1	3
OG0003983	2	1	3
OG0003984	2	1	3
OG0003985	2	1	3
OG0003986	2	1	3
OG0003987	2	1	3
OG0003988	2	1	3
OG0003989	2	1	3
OG0003990	2	1	3
OG0003991	2	1	3
OG0003992	2	1	3
OG0003993	2	1	3
OG0003994	2	1	3
OG0003995	2	1	3
OG0003996	2	1	3
OG0003997	2	1	3
OG0003998	2	1	3
OG0003999	2	1	3
OG0004000	2	1	3
OG0004001	1	2	3
OG0004002	1	2	3
OG0004003	2	1	3
OG0004004	1	2	3
OG0004005	1	2	3
OG0004006	2	1	3
OG0004007	2	1	3
OG0004008	1	2	3
OG0004009	2	1	3
OG0004010	1	2	3
OG0004011	1	2	3
OG0004012	1	2	3
OG0004013	1	2	3
OG0004014	2	1	3
OG0004015	2	1	3
OG0004016	2	1	3
OG0004017	2	1	3
OG0004018	2	1	3
OG0004019	2	1	3
OG0004020	2	1	3
OG0004021	1	2	3
OG0004022	2	1	3
OG0004023	1	2	3
OG0004024	2	1	3
OG0004025	1	2	3
OG0004026	2	1	3
OG0004027	2	1	3
OG0004028	2	1	3
OG0004029	1	2	3
OG0004030	2	1	3
OG0004031	1	2	3
OG0004032	2	1	3
OG0004033	1	2	3
OG0004034	1	2	3
OG0004035	2	1	3
OG0004036	2	1	3
OG0004037	2	1	3
OG0004038	1	2	3
OG0004039	2	1	3
OG0004040	1	2	3
OG0004041	2	1	3
OG0004042	2	1	3
OG0004043	2	1	3
OG0004044	2	1	3
OG0004045	2	1	3
OG0004046	1	2	3
OG0004047	1	2	3
OG0004048	2	1	3
OG0004049	2	1	3
OG0004050	2	1	3
OG0004051	2	1	3
OG0004052	1	2	3
OG0004053	1	2	3
OG0004054	1	2	3
OG0004055	2	1	3
OG0004056	2	1	3
OG0004057	1	2	3
OG0004058	1	2	3
OG0004059	2	1	3
OG0004060	2	1	3
OG0004061	2	1	3
OG0004062	2	1	3
OG0004063	2	1	3
OG0004064	2	1	3
OG0004065	2	1	3
OG0004066	1	2	3
OG0004067	2	1	3
OG0004068	1	2	3
OG0004069	2	1	3
OG0004070	1	2	3
OG0004071	1	2	3
OG0004072	1	2	3
OG0004073	1	2	3
OG0004074	1	2	3
OG0004075	1	2	3
OG0004076	1	2	3
OG0004077	2	1	3
OG0004078	1	2	3
OG0004079	2	1	3
OG0004080	2	1	3
OG0004081	2	1	3
OG0004082	2	1	3
OG0004083	2	1	3
OG0004084	2	1	3
OG0004085	2	1	3
OG0004086	2	1	3
OG0004087	2	1	3
OG0004088	2	1	3
OG0004089	2	1	3
OG0004090	2	1	3
OG0004091	2	1	3
OG0004092	2	1	3
OG0004093	1	2	3
OG0004094	2	1	3
OG0004095	1	2	3
OG0004096	2	1	3
OG0004097	1	2	3
OG0004098	2	1	3
OG0004099	2	1	3
OG0004100	1	2	3
OG0004101	2	1	3
OG0004102	2	1	3
OG0004103	1	2	3
OG0004104	2	1	3
OG0004105	2	1	3
OG0004106	2	1	3
OG0004107	2	1	3
OG0004108	2	1	3
OG0004109	2	1	3
OG0004110	2	1	3
OG0004111	2	1	3
OG0004112	2	1	3
OG0004113	2	1	3
OG0004114	2	1	3
OG0004115	1	2	3
OG0004116	2	1	3
OG0004117	2	1	3
OG0004118	2	1	3
OG0004119	2	1	3
OG0004120	2	1	3
OG0004121	2	1	3
OG0004122	2	1	3
OG0004123	1	2	3
OG0004124	2	1	3
OG0004125	2	1	3
OG0004126	2	1	3
OG0004127	1	2	3
OG0004128	1	2	3
OG0004129	1	2	3
OG0004130	2	1	3
OG0004131	2	1	3
OG0004132	1	2	3
OG0004133	1	2	3
OG0004134	1	2	3
OG0004135	2	1	3
OG0004136	2	1	3
OG0004137	2	1	3
OG0004138	2	1	3
OG0004139	2	1	3
OG0004140	2	1	3
OG0004141	2	1	3
OG0004142	2	1	3
OG0004143	2	1	3
OG0004144	2	1	3
OG0004145	2	1	3
OG0004146	2	1	3
OG0004147	2	1	3
OG0004148	2	1	3
OG0004149	1	2	3
OG0004150	1	2	3
OG0004151	1	2	3
OG0004152	2	1	3
OG0004153	2	1	3
OG0004154	1	2	3
OG0004155	2	1	3
OG0004156	2	1	3
OG0004157	2	1	3
OG0004158	2	1	3
OG0004159	2	1	3
OG0004160	2	1	3
OG0004161	2	1	3
OG0004162	2	1	3
OG0004163	2	1	3
OG0004164	1	2	3
OG0004165	1	2	3
OG0004166	1	2	3
OG0004167	1	2	3
OG0004168	2	1	3
OG0004169	1	2	3
OG0004170	1	2	3
OG0004171	2	1	3
OG0004172	2	1	3
OG0004173	1	2	3
OG0004174	2	1	3
OG0004175	2	1	3
OG0004176	2	1	3
OG0004177	2	1	3
OG0004178	2	1	3
OG0004179	2	1	3
OG0004180	2	1	3
OG0004181	2	1	3
OG0004182	1	2	3
OG0004183	2	1	3
OG0004184	2	1	3
OG0004185	2	1	3
OG0004186	2	1	3
OG0004187	2	1	3
OG0004188	2	1	3
OG0004189	2	1	3
OG0004190	2	1	3
OG0004191	2	1	3
OG0004192	2	1	3
OG0004193	1	2	3
OG0004194	2	1	3
OG0004195	2	1	3
OG0004196	2	1	3
OG0004197	1	2	3
OG0004198	1	2	3
OG0004199	2	1	3
OG0004200	1	2	3
OG0004201	2	1	3
OG0004202	2	1	3
OG0004203	2	1	3
OG0004204	2	1	3
OG0004205	2	1	3
OG0004206	2	1	3
OG0004207	2	1	3
OG0004208	2	1	3
OG0004209	1	2	3
OG0004210	2	1	3
OG0004211	2	1	3
OG0004212	2	1	3
OG0004213	2	1	3
OG0004214	2	1	3
OG0004215	2	1	3
OG0004216	2	1	3
OG0004217	2	1	3
OG0004218	2	1	3
OG0004219	2	1	3
OG0004220	2	1	3
OG0004221	1	2	3
OG0004222	3	0	3
OG0004223	2	1	3
OG0004224	2	1	3
OG0004225	2	1	3
OG0004226	1	2	3
OG0004227	2	1	3
OG0004228	2	1	3
OG0004229	2	1	3
OG0004230	2	1	3
OG0004231	1	2	3
OG0004232	2	1	3
OG0004233	2	1	3
OG0004234	1	2	3
OG0004235	1	2	3
OG0004236	1	2	3
OG0004237	1	2	3
OG0004238	2	1	3
OG0004239	2	1	3
OG0004240	2	1	3
OG0004241	2	1	3
OG0004242	2	1	3
OG0004243	1	2	3
OG0004244	1	2	3
OG0004245	1	2	3
OG0004246	1	2	3
OG0004247	1	2	3
OG0004248	1	2	3
OG0004249	1	2	3
OG0004250	1	2	3
OG0004251	2	1	3
OG0004252	2	1	3
OG0004253	2	1	3
OG0004254	1	2	3
OG0004255	1	2	3
OG0004256	1	2	3
OG0004257	2	1	3
OG0004258	2	1	3
OG0004259	2	1	3
OG0004260	2	1	3
OG0004261	2	1	3
OG0004262	1	2	3
OG0004263	1	2	3
OG0004264	1	2	3
OG0004265	1	2	3
OG0004266	1	2	3
OG0004267	1	2	3
OG0004268	1	2	3
OG0004269	2	1	3
OG0004270	2	1	3
OG0004271	2	1	3
OG0004272	2	1	3
OG0004273	2	1	3
OG0004274	2	1	3
OG0004275	1	2	3
OG0004276	1	2	3
OG0004277	1	2	3
OG0004278	1	2	3
OG0004279	1	2	3
OG0004280	2	1	3
OG0004281	2	1	3
OG0004282	2	1	3
OG0004283	1	2	3
OG0004284	2	1	3
OG0004285	2	1	3
OG0004286	2	1	3
OG0004287	2	1	3
OG0004288	2	1	3
OG0004289	1	2	3
OG0004290	2	1	3
OG0004291	2	1	3
OG0004292	2	1	3
